constructor_id,chassis_name,notes,id,image_url,image_updated_at,created_at,updated_at,engine_id,slug
74,Brabham BT49,,1139,,,2026-02-06 15:17:13.067804+00,2026-02-14 14:01:17.579402+00,127,brabham_brabham_bt49
2,Ferrari 312T5,,1151,,,2026-02-06 15:17:13.067804+00,2026-02-13 21:54:38.820672+00,56,ferrari_ferrari_312t5
68,Coloni FC189,,1499,,,2026-02-21 03:42:03.281045+00,2026-02-21 03:42:03.281045+00,159,coloni_coloni_fc189
,Cisitalia BPM,,55,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,8,cisitalia_bpm
63,Footwork A11C,,798,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,24,footwork_footwork_a11c
1,Alfa Romeo 158,,1,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,47,alfa_romeo_alfa_romeo_158
6,Talbot Lago T26C,,4,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,32,talbot_lago_talbot_lago_t26c
17,Stevens Belanger Indy SPECIAL,,22,,,2026-02-06 15:17:13.067804+00,2026-02-18 19:59:20.169521+00,121,stevens_stevens_belanger_indy_special
,Rae RAE,,30,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,121,rae_rae
97,Brm BRM,,43,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,118,brm_brm_brm
,Lotus CLIMAX,,72,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,141,lotus_climax
26,Haas VF-25,,205,,,2026-02-06 15:17:13.067804+00,2026-02-23 19:41:26.367201+00,309,haas_haas_vf_25
27,Mclaren MCL34,,522,,,2026-02-06 15:17:13.067804+00,2026-02-06 18:13:17.912021+00,131,mclaren_mclaren_mcl34
,Osca OSCA,,44,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,184,osca_osca
,Bar SUPERTEC,,171,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,182,bar_supertec
2,Ferrari 166S,,11,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,242,ferrari_ferrari_166s
,Afm KUCHEN,,47,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,235,afm_kuchen
26,Haas VF-23,,248,,,2026-02-06 15:17:13.067804+00,2026-02-25 00:04:01.285695+00,364,haas_haas_vf_23
7,Marchese,,5,,,2026-02-06 15:17:13.067804+00,2026-02-18 19:16:36.500181+00,259,marchese_marchese
9,Lesovsky LESOVSKY,,7,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,259,lesovsky_lesovsky_lesovsky
10,Moore MOORE,,8,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,259,moore_moore_moore
2,Ferrari 125,,27,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,279,ferrari_ferrari_125
25,Red Bull RB16,,214,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,301,red_bull_red_bull_rb16
27,Mclaren MCL35,,217,,,2026-02-06 15:17:13.067804+00,2026-02-06 18:16:46.435075+00,274,mclaren_mclaren_mcl35
53,Bar 005,,676,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,292,bar_bar_005
,Lds Alfa ROMEO,,89,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,340,lds_alfa_romeo
25,Red Bull RB21,,206,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,320,red_bull_red_bull_rb21
25,Red Bull RB15,,520,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,343,red_bull_red_bull_rb15
29,Toro Rosso STR14,,524,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,343,toro_rosso_toro_rosso_str14
32,Racing Point RP19,,528,,,2026-02-06 15:17:13.067804+00,2026-02-25 20:06:16.405835+00,239,racing_point_racing_point_rp19
51,Prost AP04,,658,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,348,prost_prost_ap04
55,Minardi PS02,,665,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,342,minardi_minardi_ps02
2,Ferrari F2004,,691,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,349,ferrari_ferrari_f2004
50,Jordan 197,,747,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,355,jordan_jordan_197
81,Simtek S951,,859,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,346,simtek_simtek_s951
30,Renault RE20B,,882,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,341,renault_renault_re20b
30,Renault RE30B,,896,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,341,renault_renault_re30b
67,Lotus 87B,,899,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,127,lotus_lotus_87b
67,Lotus 93T,,916,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,341,lotus_lotus_93t
90,Spirit 201,,924,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,347,spirit_spirit_201
31,Williams FW09,,926,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,347,williams_williams_fw09
