short_name,name,city,country,lat,lon,alt,url,opened_year,notes,id,timezone,created_at,updated_at,slug
sepang,Sepang International Circuit,Sepang,malaysia,2.760556,101.7375,18,http://en.wikipedia.org/wiki/Sepang_International_Circuit,,,2,Asia/Kuala_Lumpur,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,sepang_international_circuit
bahrain,Bahrain International Circuit,Sakhir,bahrain,26.0325,50.510556,7,http://en.wikipedia.org/wiki/Bahrain_International_Circuit,,,3,Asia/Bahrain,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,bahrain_international_circuit
catalunya,Circuit de Barcelona-Catalunya,Montmeló,spain,41.57,2.261111,109,http://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,,,4,Europe/Madrid,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,circuit_de_barcelona_catalunya
istanbul,Istanbul Park,Istanbul,turkey,40.951667,29.405,130,http://en.wikipedia.org/wiki/Istanbul_Park,,,5,Europe/Istanbul,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,istanbul_park
monaco,Circuit de Monaco,Monte Carlo,monaco,43.734722,7.420556,7,http://en.wikipedia.org/wiki/Circuit_de_Monaco,,,6,Europe/Monaco,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,circuit_de_monaco
magny-cours,Circuit de Nevers Magny-Cours,Nevers,france,46.863242,3.164228,228,http://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours,,,8,Europe/Paris,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,circuit_de_nevers_magny_cours
silverstone,Silverstone Circuit,Silverstone,GBR,52.078611,-1.016944,153,http://en.wikipedia.org/wiki/Silverstone_Circuit,,,9,Europe/London,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,silverstone_circuit
hockenheimring,Hockenheimring,Hockenheim,germany,49.327778,8.565833,103,http://en.wikipedia.org/wiki/Hockenheimring,,,10,Europe/Berlin,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,hockenheimring
hungaroring,Hungaroring,Budapest,hungary,47.582222,19.251111,264,http://en.wikipedia.org/wiki/Hungaroring,1986,,11,Europe/Budapest,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,hungaroring
valencia,Valencia Street Circuit,Valencia,spain,39.458778,-0.325556,4,http://en.wikipedia.org/wiki/Valencia_Street_Circuit,,,12,Europe/Madrid,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,valencia_street_circuit
monza,Autodromo Nazionale Monza,Monza,italy,45.620556,9.289444,162,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza,,,14,Europe/Rome,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,autodromo_nazionale_monza
marina-bay,Marina Bay Street Circuit,Singapore,singapore,1.291531,103.86385,18,http://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit,,,15,Asia/Singapore,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,marina_bay_street_circuit
fuji,Fuji Speedway,Oyama,japan,35.371667,138.926667,583,http://en.wikipedia.org/wiki/Fuji_Speedway,,,16,Asia/Tokyo,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,fuji_speedway
shanghai,Shanghai International Circuit,Shanghai,china,31.338889,121.219722,5,http://en.wikipedia.org/wiki/Shanghai_International_Circuit,,,17,Asia/Shanghai,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,shanghai_international_circuit
interlagos,Autódromo José Carlos Pace,São Paulo,brazil,-23.701111,-46.697222,785,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Jos%C3%A9_Carlos_Pace,,,18,America/Sao_Paulo,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,autodromo_jose_carlos_pace
indianapolis,Indianapolis Motor Speedway,Indianapolis,USA,39.798333,-86.232778,223,http://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway,,,19,America/Indiana/Indianapolis,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,indianapolis_motor_speedway
nurburgring,Nürburgring,Nürburg,germany,50.335556,6.9475,578,http://en.wikipedia.org/wiki/N%C3%BCrburgring,,,20,Europe/Berlin,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,nurburgring
imola,Autodromo Internazionale Enzo e Dino Ferrari,Imola,italy,44.341111,11.713333,37,http://en.wikipedia.org/wiki/Autodromo_Enzo_e_Dino_Ferrari,,,21,Europe/Rome,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,autodromo_internazionale_enzo_e_dino_ferrari
suzuka,Suzuka Circuit,Suzuka,japan,34.843056,136.540556,45,http://en.wikipedia.org/wiki/Suzuka_Circuit,,,22,Asia/Tokyo,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,suzuka_circuit
yas-marina,Yas Marina Circuit,Abu Dhabi,ARE,24.467222,54.603056,3,http://en.wikipedia.org/wiki/Yas_Marina_Circuit,,,24,Asia/Dubai,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,yas_marina_circuit
jerez,Circuito de Jerez,Jerez de la Frontera,spain,36.708333,-6.034167,37,http://en.wikipedia.org/wiki/Circuito_Permanente_de_Jerez,,,26,Europe/Madrid,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,circuito_de_jerez
estoril,Autódromo do Estoril,Estoril,portugal,38.750833,-9.394167,130,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril,,,27,Europe/Lisbon,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,autodromo_do_estoril
adelaide,Adelaide Street Circuit,Adelaide,australia,-34.927222,138.617222,58,http://en.wikipedia.org/wiki/Adelaide_Street_Circuit,1985,,29,Australia/Adelaide,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,adelaide_street_circuit
kyalami,Kyalami Racing Circuit,Midrand,ZAF,-25.998611,28.068889,1460,http://en.wikipedia.org/wiki/Kyalami,,,30,Africa/Johannesburg,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,kyalami_racing_circuit
donington,Donington Park,Leicestershire,GBR,52.829806,-1.379556,88,http://en.wikipedia.org/wiki/Donington_Park,,,31,Europe/London,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,donington_park
phoenix,Phoenix Street Circuit,Phoenix,USA,33.447917,-112.074583,345,http://en.wikipedia.org/wiki/Phoenix_street_circuit,,,33,America/Phoenix,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,phoenix_street_circuit
yeongam,Korea International Circuit,Yeongam,KOR,34.733333,126.416667,0,http://en.wikipedia.org/wiki/Korean_International_Circuit,,,35,Asia/Seoul,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,korea_international_circuit
jacarepagua,Autódromo Internacional Nelson Piquet,Rio de Janeiro,brazil,-22.975556,-43.395,1126,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet,,,36,America/Sao_Paulo,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,autodromo_internacional_nelson_piquet
detroit,Detroit Street Circuit,Detroit,USA,42.32975,-83.040111,177,http://en.wikipedia.org/wiki/Detroit_street_circuit,,,37,America/Detroit,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,detroit_street_circuit
brands-hatch,Brands Hatch,Fawkham,GBR,51.356667,0.2625,145,http://en.wikipedia.org/wiki/Brands_Hatch,,,38,Europe/London,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,brands_hatch
zandvoort,Circuit Park Zandvoort,Zandvoort,netherlands,52.388819,4.540922,6,http://en.wikipedia.org/wiki/Circuit_Zandvoort,,,39,Europe/Amsterdam,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,circuit_park_zandvoort
zolder,Circuit Zolder,Heusden-Zolder,belgium,50.988889,5.255556,36,http://en.wikipedia.org/wiki/Zolder,,,40,Europe/Brussels,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,circuit_zolder
dijon,Dijon-Prenois,Dijon,france,47.3625,4.899167,484,http://en.wikipedia.org/wiki/Dijon-Prenois,,,41,Europe/Paris,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,dijon_prenois
dallas,Fair Park,Dallas,USA,32.781944,-96.765556,139,http://en.wikipedia.org/wiki/Fair_Park,,,42,America/Chicago,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,fair_park
