circuit_id,version_name,valid_from,valid_to,lap_length_m,turns,direction,layout_key,source,source_ref,id,length_km,circuit_type,layout_image_url,layout_image_updated_at,created_at,updated_at
29,Adelaide Street Circuit F1 layout,1985,1995,,16,CLOCKWISE,,,,1,3.78,STREET,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
101,Layout (2002 to present),2002,,,14,CLOCKWISE,,,,6,4.361,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
101,Original Layout-1978,1978,1986,,19,CLOCKWISE,,,,2,4.41,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
101,Layout-1988,1988,1993,,17,CLOCKWISE,,,,3,4.43,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
101,Layout 1994-1995,1994,1995,,19,CLOCKWISE,,,,4,4.45,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
101,Layout 1996,1996,2001,,13,CLOCKWISE,,,,5,4.421,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
98,Original layout,1996,2019,,16,CLOCKWISE,,,,7,5.303,STREET,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
98,Current,2022,,,14,CLOCKWISE,,,,8,5.278,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
17,Original layout,2004,,,16,CLOCKWISE,,,,9,5.451,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
22,Current,2003,,,18,CLOCKWISE,,,,10,5.807,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
9,Current,2010,,,18,CLOCKWISE,,,,11,5.891,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
9,Originla -1950,1950,1951,,8,CLOCKWISE,,,,13,4.649,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
9,Changing starting line,1952,1973,,8,CLOCKWISE,,,,14,4.711,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
9,Adding a chicane,1975,1985,,10,CLOCKWISE,,,,15,4.719,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
9,1987 version,1987,1990,,10,CLOCKWISE,,,,16,4.78,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
9,New track,1991,1993,,18,CLOCKWISE,,,,17,5.226,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
9,Layout 1994-1995,1994,1995,,18,CLOCKWISE,,,,18,5.057,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
9,"Changing Copse, Priory and Luffield.",1997,2009,,18,CLOCKWISE,,,,12,5.141,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
9,1996,1996,1996,,18,CLOCKWISE,,,,19,5.072,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
3,Current,2004,,,,,,,,20,5.412,,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
6,Current,1950,,,19,CLOCKWISE,,,,21,3.337,STREET,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
79,Currrent,2022,,,19,CLOCKWISE,,,,22,5.412,STREET,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
77,Current,2021,,,27,COUNTERCLOCKWISE,,,,23,6.175,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
106,Current,1970,,,10,CLOCKWISE,,,,24,4.326,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
105,Current,1950,,,19,CLOCKWISE,,,,25,7.004,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
11,Current,1986,,,14,CLOCKWISE,,,,26,4.381,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
39,Current,1952,,,14,CLOCKWISE,,,,27,4.259,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
14,Current,1950,,,11,CLOCKWISE,,,,28,5.793,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
97,Current,2026,,,22,CLOCKWISE,,,,29,5.416,HYBRID,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
73,Current,2016,,,20,COUNTERCLOCKWISE,,,,30,6.003,STREET,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
15,Current,2008,,,19,COUNTERCLOCKWISE,,,,31,4.927,STREET,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
90,Current,2012,,,20,COUNTERCLOCKWISE,,,,32,5.513,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
99,Current,1963,,,17,CLOCKWISE,,,,33,4.304,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
18,Current,1973,,,15,CLOCKWISE,,,,34,4.309,CIRCUIT,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
44,Current,2023,,,17,COUNTERCLOCKWISE,,,,35,6.201,,,,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
