short_name,name,country,founded_year,defunct_year,notes,id,created_at,updated_at,slug
alfa-romeo,Alfa Romeo,Italy,,,,1,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,alfa_romeo
ferrari,Ferrari,Italy,,,,2,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,ferrari
alpha-tauri,Alpha Tauri,Italy,2020,,,3,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,alpha_tauri
kurtis-kraft,Kurtis Kraft,,,,,4,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,kurtis_kraft
maserati,Maserati,,,,,5,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,maserati
talbot-lago,Talbot Lago,,,,,6,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,talbot_lago
marchese,Marchese,,,,,7,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,marchese
deidt,Deidt,,,,,8,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,deidt
lesovsky,Lesovsky,,,,,9,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,lesovsky
moore,Moore,,,,,10,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,moore
era,Era,,,,,11,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,era
watson,Watson,,,,,12,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,watson
simca-gordini,Simca Gordini,,,,,13,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,simca_gordini
snowberger,Snowberger,,,,,14,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,snowberger
alta,Alta,,,,,15,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,alta
cooper,Cooper,,,,,16,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,cooper
stevens,Stevens,,,,,17,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,stevens
olson,Olson,,,,,18,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,olson
ewing,Ewing,,,,,19,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,ewing
nichels,Nichels,,,,,20,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,nichels
wetteroth,Wetteroth,,,,,21,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,wetteroth
adams,Adams,,,,,22,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,adams
rae,Rae,,,,,23,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,rae
langley,Langley,,,,,24,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,langley
red-bull,Red Bull,United Kingdom,,,,25,2026-02-06 15:17:13.067804+00,2026-03-19 13:19:42.090974+00,red_bull
haas,Haas,United States of America,,,,26,2026-02-06 15:17:13.067804+00,2026-03-19 13:18:33.328061+00,haas
mclaren,McLaren,United Kingdom,,,,27,2026-02-06 15:17:13.067804+00,2026-02-06 17:59:38.819825+00,mclaren
mercedes,Mercedes,Germany,,,,28,2026-02-06 15:17:13.067804+00,2026-03-19 13:18:54.156147+00,mercedes
toro-rosso,Toro Rosso,,,,,29,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,toro_rosso
renault,Renault,,,,,30,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,renault
williams,Williams,United Kingdom,1978,,,31,2026-02-06 15:17:13.067804+00,2026-02-10 02:23:11.282199+00,williams
racing-point,Racing Point,,,,,32,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,racing_point
sauber,Sauber,,,,,33,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,sauber
force-india,Force India,,,,,34,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,force_india
manor,Manor,,,,,35,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,manor
lotus-2010-2011,Lotus (2010-2011),Malaysia,,,,36,2026-02-06 15:17:13.067804+00,2026-03-23 00:19:09.193578+00,lotus_2010_2011
marussia,Marussia,,,,,37,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,marussia
caterham,Caterham,,,,,38,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,caterham
hrt,HRT,,,,,39,2026-02-06 15:17:13.067804+00,2026-03-22 22:19:37.156043+00,hrt
virgin,Virgin,,,,,40,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,virgin
lotus-2012-2015,Lotus (2012-2015),,,,,41,2026-02-06 15:17:13.067804+00,2026-03-23 00:19:41.193582+00,lotus_2012_2015
alpine,Alpine,France,,,,42,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,alpine
aston-martin,Aston-Martin,United Kingdom,,,,43,2026-02-06 15:17:13.067804+00,2026-02-06 15:19:48.068934+00,aston_martin
racing-bulls,Racing Bulls,Italy,,,,44,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,racing_bulls
bmw-sauber,BMW Sauber,,,,,46,2026-02-06 15:17:13.067804+00,2026-02-14 23:23:12.058795+00,bmw_sauber
brawn,Brawn,,,,,47,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,brawn
toyota,Toyota,,,,,48,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,toyota
arrows,Arrows,,,,,49,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,arrows
jordan,Jordan,,,,,50,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,jordan
prost,Prost,,,,,51,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,prost
jaguar,Jaguar,,,,,52,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,jaguar
bar,BAR,,,,,53,2026-02-06 15:17:13.067804+00,2026-02-12 01:37:16.995958+00,bar
benetton,Benetton,,,,,54,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,benetton
minardi,Minardi,,,,,55,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,minardi
honda,Honda,,,,,56,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,honda
midland,Midland,,,,,57,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,midland
super-aguri,Super Aguri,,,,,58,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,super_aguri
spyker,Spyker,,,,,59,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,spyker
stewart,Stewart,,,,,60,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,stewart
