id,constructor_id,model_number,layout_id,cylinder_count,displacement_cc,aspiration_type_id,created_at,updated_at,tagged_indicator,tagged_name,slug
1,75,RV10,V,10,3000,naturally_aspired,,2026-03-04 14:59:35.208526+00,f,,fondmetal_rv10
141,,Climax,,,,,,,f,,climax
261,,ferrari-555-25-l4,,,,,,,f,,ferrari_555_25_l4
58,208,TJ2006,V,10,3000,naturally_aspired,,2026-03-23 01:49:01.435204+00,f,,cosworth_tj2006
67,2,048,V,10,3000,naturally_aspired,,2026-03-04 00:43:26.537554+00,f,,ferrari_048
2,,yamaha-ox10c-30-v10,,,,,,,f,,yamaha_ox10c_30_v10
3,28,M14,V,6,1600,hybrid,,2026-02-24 00:57:41.510731+00,f,,mercedes_m14
4,30,F1-2016,V,6,1600,hybrid,,2026-03-10 23:29:49.538751+00,t,TAG Heuer,renault_f1_2016
5,,emw-6-20-l6,,,,,,,f,,emw_6_20_l6
6,,peugeot-a6-35-v10,,,,,,,f,,peugeot_a6_35_v10
7,,toyota-rvx-05-30-v10,,,,,,,f,,toyota_rvx_05_30_v10
8,,Bpm,,,,,,,f,,bpm
9,,repco-620-30-v8,,,,,,,f,,repco_620_30_v8
10,196,M12/13,L,4,1500,turbocharged,,2026-02-20 21:17:15.062474+00,f,,megatron_m12_13
11,202,A18,V,10,3000,naturally_aspired,,2026-03-04 00:36:07.078544+00,f,,peugeot_a18
12,202,A16,V,10,3000,naturally_aspired,,2026-03-04 00:02:36.496381+00,f,,peugeot_a16
13,,Talbot 23CV L6,,,,,,,f,,talbot_23cv_l6
14,30,E-Tech RE24,V,6,1600,hybrid,,2026-02-24 01:01:34.67458+00,f,,renault_e_tech_re24
15,,lea-francis-20-l4,,,,,,,f,,lea_francis_20_l4
16,212,LH10,V,10,3500,naturally_aspired,,2026-03-11 00:10:05.673689+00,f,,ilmor_lh10
17,,honda-ra002e-30-v10,,,,,,,f,,honda_ra002e_30_v10
18,2,049,V,10,3000,naturally_aspired,,2026-03-04 14:53:49.887095+00,f,,ferrari_049
19,2,062 EVO,V,6,1600,hybrid,,2026-02-27 03:57:22.820298+00,f,,ferrari_062_evo
20,,Ford,,,,,,,f,,ford
21,204,SPE-04A,V,10,3000,naturally_aspired,,2026-03-04 14:47:52.939972+00,f,,petronas_spe_04a
22,,ford-edd-30-v8,,,,,,,f,,ford_edd_30_v8
24,125,3512,V,12,3500,naturally_aspired,,2026-03-11 02:19:20.208855+00,f,,porsche_3512
25,,ferrari-178-15-v6,,,,,,,f,,ferrari_178_15_v6
26,142,P80,V,10,3000,naturally_aspired,,2026-03-07 00:59:35.401466+00,f,,bmw_p80
27,56,RA806E,V,8,2400,naturally_aspired,,2026-03-23 01:45:38.134126+00,f,,honda_ra806e
28,,aston-martin-rb6-25-l6,,,,,,,f,,aston_martin_rb6_25_l6
29,,ford-rs1-30-v10,,,,,,,f,,ford_rs1_30_v10
30,,alfa-romeo-t33-30-v8,,,,,,,f,,alfa_romeo_t33_30_v8
31,,cummins-30-l6-s,,,,,,,f,,cummins_30_l6_s
32,6,23CV,L,6,4500,naturally_aspired,,2026-02-15 21:28:00.989161+00,f,,talbot_lago_23cv
33,,peugeot-a10-30-v10,,,,,,,f,,peugeot_a10_30_v10
34,,ford-rs2-30-v10,,,,,,,f,,ford_rs2_30_v10
35,30,Energy F1 2015,V,6,1600,hybrid,,2026-03-13 20:47:12.567357+00,t,,renault_energy_f1_2015
36,30,RS26,V,8,2400,naturally_aspired,,2026-03-23 01:47:17.869846+00,f,,renault_rs26
37,,climax-fpf-28-l4,,,,,,,f,,climax_fpf_28_l4
38,,mercedes-fo-110r-30-v10,,,,,,,f,,mercedes_fo_110r_30_v10
39,56,RA808E,V,8,2400,naturally_aspired,,2026-03-23 01:31:58.735358+00,f,,honda_ra808e
40,2,065,V,6,1600,hybrid,,2026-02-25 15:53:09.761119+00,f,,ferrari_065
41,28,M12,V,6,1600,hybrid,,2026-02-24 00:58:29.989015+00,f,,mercedes_m12
42,,renault-rs5-35-v10,,,,,,,f,,renault_rs5_35_v10
43,56,RA621H,V,6,1600,hybrid,,2026-02-25 04:32:10.249398+00,f,,honda_ra621h
44,,honda-ra004e-30-v10,,,,,,,f,,honda_ra004e_30_v10
45,,TJ2005 V10 3.0,,,,,,,f,,tj2005_v10_3_0
46,,bmw-p83-30-v10,,,,,,,f,,bmw_p83_30_v10
47,1,158,L,8,1500,supercharged,,2026-02-15 20:35:47.058531+00,f,,alfa_romeo_158
48,,pratt-whitney-stn76-tbn,,,,,,,f,,pratt_whitney_stn76_tbn
49,,osca-372-15-l4,,,,,,,f,,osca_372_15_l4
50,199,OX99,V,12,3500,naturally_aspired,,2026-03-11 00:14:44.631478+00,f,,yamaha_ox99
51,95,MS81,V,12,2993,naturally_aspired,,2026-02-14 14:17:31.562699+00,f,,matra_ms81
52,,Gordini,,,,,,,f,,gordini
53,,toyota-rvx-04-30-v10,,,,,,,f,,toyota_rvx_04_30_v10
54,56,RA101E,V,10,3500,naturally_aspired,,2026-03-10 23:36:05.445505+00,f,,honda_ra101e
68,30,RE17,V,6,1600,hybrid,,2026-03-10 23:29:09.650726+00,f,,renault_re17
71,28,M17 E Performance,V,6,1600,hybrid,,2026-03-07 19:24:48.38369+00,f,,mercedes_m17_e_performance
81,56,RA001E,V,10,3000,naturally_aspired,,2026-03-07 00:58:03.339617+00,f,,honda_ra001e
55,206,GC37-01,V,10,3000,naturally_aspired,,2026-03-04 00:22:58.219952+00,f,,mecachrome_gc37_01
56,2,015,F,12,2991,naturally_aspired,,2026-02-14 14:00:07.901807+00,f,,ferrari_015
57,,bmw-p84-30-v10,,,,,,,f,,bmw_p84_30_v10
59,,honda-ra272e-15-v12,,,,,,,f,,honda_ra272e_15_v12
60,5,4CLT,L,4,1500,supercharged,,2026-02-15 21:50:55.64863+00,f,,maserati_4clt
61,,ferrari-040-35-v12,,,,,,,f,,ferrari_040_35_v12
62,2,064,V,6,1600,hybrid,,2026-02-25 16:04:02.012076+00,f,,ferrari_064
63,56,RA616H,V,6,1600,hybrid,,2026-02-27 04:25:33.570738+00,f,,honda_ra616h
64,,ford-hbe7-8-35-v8,,,,,,,f,,ford_hbe7_8_35_v8
65,,ferrari-046-30-v10,,,,,,,f,,ferrari_046_30_v10
66,,ferrari-242-30-v12,,,,,,,f,,ferrari_242_30_v12
69,72,F35,W,12,3500,naturally_aspired,,2026-02-21 23:44:43.412801+00,f,,life_f35
70,,ferrari-ds50-25-v8,,,,,,,f,,ferrari_ds50_25_v8
72,142,P86/8,V,8,2400,naturally_aspired,,2026-03-23 01:30:55.256433+00,f,,bmw_p86_8
73,,Fiat L4s,,,,,,,f,,fiat_l4s
74,,Bugatti,,,,,,,f,,bugatti
75,,alfa-romeo-giulietta-15-l4,,,,,,,f,,alfa_romeo_giulietta_15_l4
76,49,T2-F1,V,10,3000,naturally_aspired,,2026-03-02 02:24:13.774804+00,f,,arrows_t2_f1
77,,ford-hbf7-8-35-v8,,,,,,,f,,ford_hbf7_8_35_v8
78,,brm-p101-30-v12,,,,,,,f,,brm_p101_30_v12
79,,bpm-20-l4,,,,,,,f,,bpm_20_l4
80,,honda-ra273e-30-v12,,,,,,,f,,honda_ra273e_30_v12
82,,maserati-tipo-6-15-l4,,,,,,,f,,maserati_tipo_6_15_l4
83,199,OX88,V,8,3500,naturally_aspired,,2026-02-21 02:09:42.706818+00,f,,yamaha_ox88
84,197,GV,V,10,3500,naturally_aspired,,2026-03-10 23:34:48.108978+00,f,,judd_gv
85,95,MS73,V,12,3000,naturally_aspired,,2026-03-11 03:16:16.773542+00,f,,matra_ms73
86,2,047,V,10,3000,naturally_aspired,,2026-03-04 00:10:47.685636+00,f,,ferrari_047
87,199,OX11A,V,10,3000,naturally_aspired,,2026-03-01 04:29:39.366242+00,f,,yamaha_ox11a
88,205,FB01,V,10,3000,naturally_aspired,,2026-03-04 00:39:40.984986+00,f,,playlife_fb01
89,30,RE18,V,6,1600,hybrid,,2026-03-10 23:29:20.181389+00,f,,renault_re18
