season_short_name,regulatory_system_id,event_name,round,event_date,circuit_id,laps,scheduled_laps,distance,scheduled_distance,id,event_official_name,created_at,updated_at,slug
F1-2025,,2025 Miami Grand Prix,6,2025-05-04,79,57,,308.326,,1149,Formula 1 Crypto.com Miami Grand Prix 2025,2026-02-06 15:17:13.067804+00,2026-06-24 16:05:11.348676+00,2025_miami_grand_prix
F1-2025,,2025 Emilia-Romagna Grand Prix,7,2025-05-18,21,63,,309.049,,1150,Formula 1 AWS Gran Premio del Made in Italy e dell'Emilia Romagna 2025,2026-02-06 15:17:13.067804+00,2026-06-24 16:05:23.590274+00,2025_emilia_romagna_grand_prix
F1-2025,,2025 Abu Dhabi Grand Prix,24,2025-12-07,24,58,,306.183,,1167,Formula 1 Etihad Airways Abu Dhabi Grand Prix 2025,2026-02-06 15:17:13.067804+00,2026-06-24 16:08:25.740983+00,2025_abu_dhabi_grand_prix
F1-2011,,Formula 1 Grand Prix de Monaco 2011,6,2011-05-29,6,78,,260.52,,880,Formula 1 Grand Prix de Monaco 2011,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,formula_1_grand_prix_de_monaco_2011
F1-1984,,1984 Dallas Grand Prix,9,1984-07-08,42,67,,261.367,,432,1984 Dallas Grand Prix,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,1984_dallas_grand_prix
F1-2015,,2015 Formula 1 Etihad Airways Abu Dhabi Grand Prix,19,2015-11-29,24,55,,305.355,,970,2015 Formula 1 Etihad Airways Abu Dhabi Grand Prix,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,2015_formula_1_etihad_airways_abu_dhabi_grand_prix
F1-2018,1,2018 Azerbaijan Grand Prix,4,2018-04-29,73,51,,306.049,,1015,Formula 1 2018 Rolex Azerbaijan Grand Prix,2026-02-06 15:17:13.067804+00,2026-04-07 19:53:12.823367+00,2018_azerbaijan_grand_prix
F1-2018,1,2018 Spanish Grand Prix,5,2018-05-13,4,66,,307.104,,1016,Formula 1 Gran Premio de España Emirates 2018,2026-02-06 15:17:13.067804+00,2026-04-07 19:56:40.996714+00,2018_spanish_grand_prix
F1-2018,1,2018 Monaco Grand Prix,6,2018-05-27,6,78,,260.286,,1017,Formula 1 Grand Prix de Monaco 2018,2026-02-06 15:17:13.067804+00,2026-04-07 20:04:33.262762+00,2018_monaco_grand_prix
F1-2018,1,2018 French Grand Prix,8,2018-06-24,102,53,,309.69,,1019,Formula 1 Pirelli Grand Prix de France 2018,2026-02-06 15:17:13.067804+00,2026-04-07 20:09:52.152663+00,2018_french_grand_prix
F1-1950,2,34th International 500-Mile Sweepstakes,3,1950-05-30,19,200,,500 miles,,3,34th International 500-Mile Sweepstakes,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,34th_international_500_mile_sweepstakes
F1-1950,1,1950 Monaco Grand Prix,2,1950-05-21,6,100,,318.000 km,,2,Prix de Monte-Carlo et XIe Grand Prix Automobile,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,1950_monaco_grand_prix
F1-2022,,Formula 1 Heineken Gran Premio de la Ciudad de México 2022,20,2022-10-30,99,71,,305.354,,1103,Formula 1 Heineken Gran Premio de la Ciudad de México 2022,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,formula_1_heineken_gran_premio_de_la_ciudad_de_mexico_2022
F1-2017,1,2017 Australian Grand Prix,1,2017-03-26,98,57,57,302.271,302.271,992,2017 Formula 1 Rolex Australian Grand Prix,2026-02-06 15:17:13.067804+00,2026-04-06 18:01:39.365944+00,2017_australian_grand_prix
F1-1947,,VIII Grand Prix de Pau,,1947-04-07,81,110,,304.535,,1213,VIII Grand Prix de Pau,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,viii_grand_prix_de_pau
F1-1947,,VI Grand Prix de Marseille,,1947-05-18,120,69,,303.538,,1217,VI Grand Prix de Marseille,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,vi_grand_prix_de_marseille
F1-1947,,III Grand Prix de Nimes,,1947-06-01,121,70,,368.236,,1218,III Grand Prix de Nimes,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,iii_grand_prix_de_nimes
