event_id,championship_id,id,created_at,updated_at
33,3,8,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
34,3,9,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
35,3,10,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
36,3,11,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
37,3,12,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
38,3,13,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
39,3,14,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
40,3,15,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
41,3,16,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
1,1,17,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2,1,18,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
3,1,20,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
4,1,21,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
5,1,22,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
6,1,23,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
7,1,24,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
76,1,25,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
77,1,26,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
78,1,27,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
79,1,28,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
80,1,29,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
81,1,30,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
82,1,31,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
16,1,32,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
17,1,33,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
18,1,34,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
19,1,35,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
20,1,36,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
21,1,37,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
22,1,38,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
23,1,39,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
24,1,40,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
25,1,41,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
26,1,42,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
28,1,44,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
29,1,45,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
30,1,46,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
31,1,47,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
32,1,48,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
83,1,49,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
43,1,50,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
44,1,51,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
45,1,52,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
46,1,53,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
47,1,54,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
48,1,55,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
49,1,56,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
50,1,57,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
51,1,58,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
52,1,59,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
53,1,60,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
54,1,61,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
55,1,62,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
56,1,63,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
57,1,64,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
58,1,65,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
59,1,66,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
60,1,67,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
61,1,68,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
62,1,69,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
63,1,70,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
64,1,71,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
65,1,72,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
66,1,73,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
67,1,74,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
68,1,75,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
69,1,76,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
70,1,77,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
71,1,78,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
72,1,79,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
73,1,80,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
74,1,81,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
75,1,82,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
84,1,83,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
85,1,84,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
86,1,85,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
87,1,86,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
88,1,87,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
89,1,88,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
90,1,89,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
91,1,90,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
92,1,91,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
93,1,92,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
94,1,93,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
95,1,94,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
96,1,95,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
97,1,96,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
98,1,97,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
99,1,98,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
100,1,99,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
