season_id,championship_id,session_type,id,created_at,updated_at,point_system_definition_id
35,1,RACE,42,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,1
34,1,RACE,41,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,1
33,1,RACE,40,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,1
32,1,RACE,39,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,1
31,1,RACE,38,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,1
30,1,RACE,37,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,1
29,1,RACE,36,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,1
28,1,RACE,35,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,1
27,1,RACE,34,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,1
26,1,RACE,33,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,1
25,1,RACE,32,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,1
24,1,RACE,31,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,1
23,1,RACE,30,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,2
22,1,RACE,29,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,2
17,1,RACE,24,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,2
21,1,RACE,28,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,2
20,1,RACE,27,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,2
19,1,RACE,26,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,2
18,1,RACE,25,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,2
78,1,RACE,16,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,3
79,1,RACE,17,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,3
8,1,RACE,9,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,3
9,1,RACE,8,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,3
10,1,RACE,7,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,3
11,1,RACE,6,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,3
13,1,RACE,4,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,3
14,1,RACE,3,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,3
15,1,RACE,2,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,3
12,1,RACE,5,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,4
77,1,RACE,15,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,5
3,1,RACE,14,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,5
4,1,RACE,13,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,5
5,1,RACE,12,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,5
6,1,RACE,11,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,5
7,1,RACE,10,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,5
60,1,RACE,67,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00,6
