event_id,season_id,standing_type,driver_id,constructor_id,position,points,id,created_at,updated_at
2,,DRIVER,647,,3,6,9,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2,,DRIVER,686,,5,4,10,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2,,DRIVER,589,,5,4,11,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2,,DRIVER,704,,7,3,12,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2,,DRIVER,793,,7,3,13,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
2,,DRIVER,627,,9,2,14,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
3,,DRIVER,642,,1,9,16,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
3,,DRIVER,579,,1,9,17,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
3,,DRIVER,593,,1,9,18,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
3,,DRIVER,786,,4,6,19,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
3,,DRIVER,647,,4,6,20,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
3,,DRIVER,701,,4,6,21,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
3,,DRIVER,686,,7,4,22,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
3,,DRIVER,589,,7,4,23,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
3,,DRIVER,768,,7,4,24,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
3,,DRIVER,704,,10,3,25,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
3,,DRIVER,793,,10,3,26,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
3,,DRIVER,770,,10,3,27,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
3,,DRIVER,627,,13,2,28,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
3,,DRIVER,794,,15,1,30,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
3,,DRIVER,529,,15,1,31,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
4,,DRIVER,642,,1,18,32,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
4,,DRIVER,786,,2,12,33,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
4,,DRIVER,579,,3,9,34,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
4,,DRIVER,593,,3,9,35,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
4,,DRIVER,647,,5,6,36,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
4,,DRIVER,701,,5,6,37,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
4,,DRIVER,627,,7,6,38,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
4,,DRIVER,686,,9,4,40,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
4,,DRIVER,589,,9,4,41,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
4,,DRIVER,768,,9,4,42,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
4,,DRIVER,704,,12,3,43,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
4,,DRIVER,793,,12,3,44,2026-02-06 15:17:13.067804+00,2026-02-06 15:17:13.067804+00
